,회사명,거래소코드,회계년도,상장일,상장폐지일,소속코드,산업명,매출액증가율,유형자산증가율,재고자산증가율,비유동자산증가율,유동자산증가율,자기자본증가율,총자본증가율,순이익증가율,매출액총이익률,매출액순이익률,자기자본순이익률,총자본사업이익률,총자본순이익률,1주당매출액,1주당순이익,유동비율,당좌비율,현금비율,순운전자본비율,부채비율,이자보상배율이자비용,비유동비율,유동자산구성비율,자기자본구성비율,자기자본배율,총자본회전률,자기자본회전률,비유동자산회전률,재고자산회전률,매출채권회전률,매입채무회전률,매입채무회전기간,재고자산회전기간,매출채권회전기간,1회전기간,운전자본회전률,순운전자본회전률,유형자산회전율,유동자산회전률,당좌자산회전률,부가가치,총자본투자효율,설비투자효율,기계투자효율,부가가치율,노동소득분배율,자본분배율,이윤분배율,label
1707,씨제이프레시웨이(주),51500,2014-12-01,2001-07-26,,5,  도매 및 상품 중개업,-4.35,220.98,96.0,22.9,4.74,6.69,12.75,0.0,11.68,0.52,5.64,4.38,1.47,165432.07,975.0,84.55,56.96,1.77,-9.48,244.62,5.92,165.8,51.89,29.02,1766.52,2.83,9.49,6.11,20.86,8.48,8.15,44.81,17.49,43.06,0.06,0.05,2.56,12.16,5.26,7.03,141010.63,20.95,65.25,704067.47,7.85,65.73,34.27,6.62,0
1708,씨큐브(주),101240,2012-12-01,2011-11-08,,5,  화학물질 및 화학제품 제조업; 의약품 제외,13.07,-4.08,21.29,-4.51,21.82,1.26,5.67,-15.44,36.79,11.2,13.91,9.99,6.4,7416.99,854.0,149.7,102.21,8.42,13.27,121.39,3.11,132.88,39.98,45.17,1285.31,0.57,1.24,0.98,3.85,2.89,11.87,30.75,94.74,126.13,0.01,0.0,0.8,1.49,1.37,2.12,48459.34,18.7,46.92,3743.74,36.19,48.96,51.04,30.94,0
1709,씨큐브(주),101240,2013-12-01,2011-11-08,,5,  화학물질 및 화학제품 제조업; 의약품 제외,15.28,-0.91,23.91,-2.77,13.65,15.42,4.55,22.41,35.27,19.96,27.42,12.2,12.38,10240.98,2019.0,116.9,83.52,7.66,7.29,121.4,4.16,109.71,50.45,45.17,1647.46,0.62,1.37,1.15,4.54,2.74,7.53,48.45,80.36,133.22,0.01,0.0,0.76,1.61,1.35,1.92,84002.42,24.86,79.94,6843.98,45.36,35.96,64.04,44.01,0
1710,씨큐브(주),101240,2014-12-01,2011-11-08,,5,  화학물질 및 화학제품 제조업; 의약품 제외,6.01,8.18,13.78,7.11,26.85,23.4,16.68,36.01,34.49,11.97,13.77,8.68,6.57,9770.16,1197.0,126.01,74.32,9.53,9.01,99.05,5.58,112.15,43.66,50.24,1764.19,0.55,1.15,1.04,3.4,2.86,6.05,60.35,107.44,127.67,0.01,4.8,0.64,1.4,1.17,1.77,73690.1,22.14,54.49,7481.0,40.06,51.34,48.66,29.88,0
1711,아미코젠(주),92040,2014-12-01,2013-09-12,,5,  식료품 제조업,17.91,23.78,73.33,56.28,4.76,20.85,22.56,-0.15,51.18,27.49,15.21,17.94,13.82,3176.27,889.0,754.94,688.67,213.88,48.55,8.69,377.93,47.87,55.96,92.0,1155.92,0.5,0.55,1.14,10.23,2.18,17.61,20.72,35.67,167.16,0.01,0.0,0.79,1.59,0.9,0.98,14509.37,26.69,85.22,211.17,53.09,28.13,71.87,51.78,0
1712,아비코전자(주),36010,2012-12-01,2002-07-03,,5,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",-7.56,-4.02,-2.25,2.76,-15.1,-12.05,-6.59,0.0,9.58,-9.9,-9.4,0.71,-6.02,4005.33,-416.0,140.74,117.57,49.13,13.78,56.22,-0.34,81.87,47.6,64.01,809.39,0.61,0.95,1.16,7.75,6.2,9.74,37.47,47.07,58.83,0.01,0.24,0.75,1.47,1.28,1.53,8131.04,10.56,26.56,49.32,17.38,110.79,-10.79,-56.98,0
1713,아비코전자(주),36010,2013-12-01,2002-07-03,,5,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",27.82,9.94,3.24,9.44,15.98,14.23,12.55,0.0,15.52,5.64,6.39,5.54,4.12,5119.59,292.0,176.02,150.23,69.05,21.18,53.92,4.72,78.43,49.04,64.97,924.6,0.73,1.13,1.42,9.75,6.97,12.23,29.84,37.42,52.37,0.02,0.22,0.92,1.79,1.51,1.79,17251.6,19.9,51.27,88.18,28.85,49.43,50.57,19.57,0
1714,아비코전자(주),36010,2014-12-01,2002-07-03,,5,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",-1.49,-12.49,-5.11,-14.45,12.8,8.98,-1.08,67.17,21.7,9.58,9.59,8.12,6.55,5043.31,483.0,211.66,185.57,104.42,29.5,39.7,7.96,61.57,55.93,71.58,1007.68,0.68,1.0,1.44,9.71,6.12,11.94,30.57,37.6,59.67,0.01,0.26,0.86,1.8,1.3,1.5,22149.69,25.83,73.02,133.77,37.6,43.9,56.1,25.48,0
1715,아이크래프트(주),52460,2012-12-01,2005-01-03,,5,"  컴퓨터 프로그래밍, 시스템 통합 및 관리업",23.45,-29.98,-80.8,-36.4,23.22,15.02,8.24,905.96,15.73,3.83,11.39,9.96,7.16,27251.6,1063.0,161.36,105.61,4.3,25.69,73.57,76.22,56.32,67.55,57.61,1896.26,1.87,2.98,5.44,8.56,6.08,10.39,35.12,42.66,60.03,0.01,0.24,1.84,8.87,2.85,4.28,57091.67,20.75,104.08,153.3,12.53,45.16,54.84,30.53,0
1716,아이크래프트(주),52460,2013-12-01,2005-01-03,,5,"  컴퓨터 프로그래밍, 시스템 통합 및 관리업",-13.1,-18.39,51.34,13.98,2.68,2.91,4.35,-62.81,17.98,2.78,4.63,4.11,3.43,6477.67,206.0,323.83,294.46,150.03,57.97,34.95,26.83,21.77,83.87,74.1,779.61,1.23,1.66,7.63,16.19,4.12,7.84,46.54,22.54,88.6,0.02,0.08,1.12,181.58,1.47,1.61,9726.21,22.96,3385.11,25451.95,18.64,78.75,21.25,14.93,0
