회사명,거래소코드,회계년도,매출액증가율(IFRS),총자본증가율(IFRS),매출액순이익률(IFRS),총자본정상영업이익률(IFRS),CASH FLOW 대 부채비율(IFRS),CASH FLOW 대 총자본비율(IFRS),총자본회전률(IFRS),자기자본회전률(IFRS),총자본투자효율(IFRS),설비투자효율(IFRS)
(주)네오위즈홀딩스,42420,2014/12,-55.84,3.69,413.47,0.21,905.55,1.18,0.01,0.01,0.53,28540.3
(주)네오티스,85910,2011/12,24.55,11.53,13.62,8.86,65.67,8.81,0.45,0.51,21.26,67.61
(주)네오티스,85910,2012/12,19.86,3.18,12.33,5.63,48.37,7.03,0.5,0.59,23.63,49.67
(주)네오티스,85910,2013/12,3.72,17.1,6.15,3.91,23.52,6.25,0.47,0.6,17.17,46.06
(주)네오티스,85910,2014/12,3.79,-2.17,6.85,3.84,31.04,6.66,0.46,0.61,18.4,56.2
(주)네오팜,92730,2011/12,15.57,2.91,5.34,3.58,51.43,6.25,0.51,0.57,14.99,50.23
(주)네오팜,92730,2012/12,10.8,0.42,3.45,0.61,53.31,6.59,0.55,0.63,14.95,53.55
(주)네오팜,92730,2013/12,7.26,1.81,9.41,6.23,33.19,4.22,0.58,0.67,20.09,77.94
(주)네오팜,92730,2014/12,27.14,3.1,10.03,14.17,98.27,12.86,0.73,0.83,24.91,106.07
(주)네이처셀,7390,2011/12,-22.9,7.19,-7.12,-3.39,6.9,4.79,0.9,5.44,7.86,26.94
(주)네이처셀,7390,2012/12,19.35,-5.27,-6.98,-1.79,4.11,2.68,1.07,3.27,9.5,24.53
(주)네이처셀,7390,2013/12,7.36,-7.28,-12.01,4.76,-0.7,-0.37,1.22,3.01,11.38,27.15
(주)네이처셀,7390,2014/12,-13.19,6.6,7.47,-5.49,4.0,1.76,1.07,2.07,19.33,48.72
(주)네패스,33640,2011/12,-9.53,-5.76,7.1,8.0,19.71,8.14,0.78,1.43,23.29,64.54
(주)네패스,33640,2012/12,19.22,16.69,7.51,12.29,17.78,7.85,0.88,1.55,24.23,56.24
(주)네패스,33640,2013/12,-10.78,-1.56,-8.15,5.64,24.75,12.39,0.74,1.39,11.34,20.4
(주)네패스,33640,2014/12,-16.57,0.08,-18.46,1.99,21.61,13.32,0.62,1.4,8.2,18.41
(주)넥스턴바이오사이언스,89140,2011/12,9.12,9.55,11.24,13.7,44.29,10.07,0.93,1.2,23.47,91.7
(주)넥스턴바이오사이언스,89140,2012/12,-22.12,-7.65,11.4,11.35,77.1,11.48,0.72,0.89,22.5,83.44
(주)넥스턴바이오사이언스,89140,2013/12,3.17,7.7,12.92,11.75,50.46,6.83,0.75,0.87,23.18,95.32
(주)넥스턴바이오사이언스,89140,2014/12,-6.84,9.44,15.6,12.65,86.04,11.33,0.64,0.74,23.14,108.69
(주)넥스트아이,137940,2011/12,1.45,61.81,24.97,23.74,270.47,24.51,0.83,0.92,29.59,134.76
(주)넥스트아이,137940,2012/12,29.47,24.51,21.62,23.92,101.15,12.62,0.77,0.87,27.01,151.71
(주)넥스트아이,137940,2013/12,4.02,20.6,17.58,14.58,81.01,13.61,0.66,0.77,22.1,147.44
(주)넥스트아이,137940,2014/12,12.12,10.18,13.76,9.47,71.14,12.23,0.64,0.77,19.61,81.07
(주)녹원씨엔아이,65560,2011/12,1.86,-9.87,2.03,4.91,6.15,3.29,1.35,3.3,44.83,229.43
(주)녹원씨엔아이,65560,2012/12,-33.42,-24.1,-37.5,-26.03,-32.16,-19.26,1.08,2.46,8.2,33.17
(주)녹원씨엔아이,65560,2013/12,-29.34,-21.15,-31.85,-24.14,-65.31,-38.16,0.99,2.42,-18.81,-64.92
(주)녹원씨엔아이,65560,2014/12,-74.87,36.47,-110.09,-24.42,-155.65,-35.67,0.24,0.38,-9.66,-187.62
(주)누리플랜,69140,2011/12,12.11,6.19,6.55,7.79,-4.31,-2.11,1.09,2.18,20.85,77.58
(주)누리플랜,69140,2012/12,-24.84,-0.72,-2.95,-3.04,4.09,2.04,0.8,1.58,9.66,34.39
(주)누리플랜,69140,2013/12,-12.17,-6.16,-8.18,-7.03,4.57,2.27,0.73,1.45,4.4,14.89
(주)누리플랜,69140,2014/12,-22.26,-35.83,-32.1,-17.31,-2.06,-1.04,0.71,1.42,-14.07,-31.67
(주)누리플렉스,40160,2011/12,-20.41,-6.83,-4.17,0.43,20.99,7.73,0.52,0.84,7.21,24.69
(주)누리플렉스,40160,2012/12,-28.88,-16.61,-51.47,-6.94,14.76,6.88,0.42,0.71,-13.5,-191.18
(주)누리플렉스,40160,2013/12,21.63,8.64,20.75,3.85,-1.35,-0.48,0.54,0.91,21.07,64.18
(주)누리플렉스,40160,2014/12,7.21,1.2,6.06,4.87,0.43,0.14,0.55,0.84,11.62,66.41
(주)뉴보텍,60260,2011/12,11.03,-6.63,-8.42,-8.44,-2.02,-1.03,1.21,2.36,7.74,21.32
(주)뉴보텍,60260,2012/12,-4.89,-13.3,1.0,1.88,1.94,0.8,1.28,2.39,23.84,64.02
(주)뉴보텍,60260,2013/12,0.58,5.27,0.83,1.55,21.24,9.1,1.35,2.33,22.01,67.72
(주)뉴보텍,60260,2014/12,-11.87,-0.31,-1.11,-0.81,14.47,6.0,1.16,2.01,21.43,68.98
(주)뉴인텍,12340,2011/12,4.0,17.71,0.92,2.89,-0.46,-0.27,0.92,2.07,15.56,60.18
(주)뉴인텍,12340,2012/12,-16.15,-8.27,-11.48,-5.16,2.55,1.54,0.75,1.83,9.68,34.02
(주)뉴인텍,12340,2013/12,10.96,-3.32,-5.97,-3.13,3.66,2.35,0.88,2.33,14.66,49.82
(주)뉴인텍,12340,2014/12,3.29,-3.14,-7.69,-5.4,-4.31,-2.7,0.94,2.57,13.14,41.23
(주)뉴프렉스,85670,2011/12,-4.32,6.26,0.46,2.27,9.12,4.71,0.87,1.74,18.44,37.17
(주)뉴프렉스,85670,2012/12,70.89,19.01,1.08,5.93,0.18,0.11,1.31,2.93,18.34,40.35
(주)뉴프렉스,85670,2013/12,19.74,7.98,-2.63,1.43,-7.54,-4.88,1.39,3.62,16.21,35.11
(주)뉴프렉스,85670,2014/12,1.12,-0.76,1.43,3.32,2.09,1.3,1.36,3.74,26.21,55.51
(주)다날,64260,2011/12,11.4,-5.66,6.36,4.98,19.32,7.98,0.61,1.12,4.47,342.43
(주)다날,64260,2012/12,-7.19,11.64,-5.47,5.4,10.45,4.83,0.55,0.98,-1.99,-410.4
(주)다날,64260,2013/12,20.93,13.24,1.01,5.77,19.48,8.18,0.59,1.05,6.03,817.87
