회사명,거래소코드,회계년도,매출액증가율(IFRS),매출액순이익률(IFRS),총자본투자효율(IFRS),CASH FLOW 대 부채비율(IFRS),총자본회전률(IFRS)
(주)아미노로직스,074430,2012/12,-14.59,-998.59,-65.58,-24.14,0.05
(주)아바코,083930,2012/12,-61.91,-0.2,10.93,30.28,0.73
(주)아바텍,149950,2012/12,87.24,20.99,41.63,120.19,1.03
(주)아이디스,143160,2012/12,0,16.98,37.83,118.44,1.22
(주)아이디스홀딩스,054800,2012/12,42.03,41.54,2.15,28.38,0.03
(주)아이씨디,040910,2012/09,-43.25,11.86,19.61,11.46,0.62
(주)아이앤씨테크놀로지,052860,2012/12,-53.71,-40.33,-5.42,209.68,0.18
(주)아이에스시,095340,2012/12,21.57,27.31,32.63,107.21,0.61
(주)아이에스이커머스,069920,2012/12,1.91,-5.91,-4.02,-0.21,0.97
(주)아이에이,038880,2012/12,49.15,-54.24,-10.56,-7.34,0.46
(주)아이엠,101390,2012/12,37.22,1.01,8.49,-3.9,1.1
(주)아이엠비씨,052220,2012/12,-9.43,6.64,4.92,38.48,0.85
(주)아이오케이컴퍼니,078860,2012/12,57.37,2.63,37.69,3.59,1.32
(주)아이윈,090150,2012/12,13.22,3.91,13.37,-0.45,0.87
(주)아이즈비전,031310,2012/12,-25.24,-1.06,3.21,-26.09,0.97
(주)아이컴포넌트,059100,2012/12,-30.87,-14.13,7.17,2.33,0.56
(주)아이톡시,052770,2012/12,-26.23,-6.89,35.3,4.32,0.89
(주)아이티엑스에이아이,099520,2012/12,4.58,0.24,19.46,1.62,0.94
(주)아즈텍더블유비이,032080,2012/12,-14.68,8.92,11.02,18.97,0.45
(주)아프리카티비,067160,2012/12,7.02,4.15,36.03,10.76,0.87
(주)안랩,053800,2012/12,28.31,11.59,35.41,46.95,0.7
(주)알에프세미,096610,2012/12,14.9,11.09,25.16,22.58,0.65
(주)알에프텍,061040,2012/12,93.81,6.9,26.6,19.17,2.16
(주)알톤스포츠,123750,2012/12,31.13,6.01,18.61,9.24,0.88
(주)알파홀딩스,117670,2012/12,45.14,9.51,20.43,12.84,0.8
(주)액토즈소프트,052790,2012/12,-16.64,12.22,9.38,12.17,0.47
(주)앤씨앤,092600,2012/12,15.88,6.01,15.47,60.98,0.7
(주)에너토크,019990,2012/12,20.21,12.15,33.21,86.37,1.06
(주)에스디시스템,121890,2012/12,78.07,0.07,15.56,-28.36,1.65
(주)에스비에스콘텐츠허브,046140,2012/12,-3.67,11.22,24.34,72.17,1.14
(주)에스씨디,042110,2012/12,11.93,0.34,21.29,28.13,1.1
(주)에스아이리소스,065420,2012/12,22.57,-7.16,-0.08,7.96,0.62
(주)에스앤더블류,103230,2012/12,-18.39,3.64,20.25,20.04,0.78
(주)에스앤에스텍,101490,2012/12,-7.23,10.15,15.66,19.96,0.41
