,회사명,거래소코드,회계년도,상장일,상장폐지일,소속코드,산업명,[제조]총자본증가율(IFRS연결),[제조]유형자산증가율(IFRS연결),[제조]비유동자산증가율(IFRS연결),[제조]유동자산증가율(IFRS연결),[제조]재고자산증가율(IFRS연결),[제조]자기자본증가율(IFRS연결),[제조]매출액증가율(IFRS연결),[제조]순이익증가율(IFRS연결),[제조]매출액총이익률(IFRS연결),[제조]매출액순이익률(IFRS연결),[제조]자기자본순이익률(IFRS연결),[제조]총자본사업이익률(IFRS연결),[제조]총자본순이익률(IFRS연결),[제조]1주당매출액(IFRS연결),[제조]1주당순이익(IFRS연결),[제조]유동비율(IFRS연결),[제조]당좌비율(IFRS연결),[제조]현금비율(IFRS연결),[제조]순운전자본비율(IFRS연결),[제조]부채비율(IFRS연결),[제조]이자보상배율(이자비용)(IFRS연결),[제조]비유동비율(IFRS연결),[제조]유동자산구성비율(IFRS연결),[제조]자기자본구성비율(IFRS연결),[제조]자기자본배율(IFRS연결),[제조]총자본회전률(IFRS연결),[제조]자기자본회전률(IFRS연결),[제조]비유동자산회전률(IFRS연결),[제조]재고자산회전률(IFRS연결),[제조]매출채권회전률(IFRS연결),[제조]매입채무회전률(IFRS연결),[제조]매입채무회전기간(IFRS연결),[제조]재고자산회전기간(IFRS연결),[제조]매출채권회전기간(IFRS연결),[제조]1회전기간(IFRS연결),[제조]운전자본회전률(IFRS연결),[제조]순운전자본회전률(IFRS연결),[제조]유형자산회전율(IFRS연결),[제조]유동자산회전률(IFRS연결),[제조]당좌자산회전률(IFRS연결),[제조]부가가치(IFRS연결),[제조]총자본투자효율(IFRS연결),[제조]설비투자효율(IFRS연결),[제조]기계투자효율(IFRS연결),[제조]부가가치율(IFRS연결),[제조]노동소득분배율(IFRS연결),[제조]자본분배율(IFRS연결),[제조]이윤분배율(IFRS연결),상장폐지사유,회계월,상장년도,회계년,연차
232,(주)아라온테크,41060,2013-12-01,2000-06-07,2014-05-08,4,  기타 기계 및 장비 제조업,-18.7,2842.22,262.97,-62.03,0.0,8.24,-84.41,0.0,0.37,17.16,7.6,-14.44,5.81,170.88,29.0,378.69,378.69,49.64,29.79,12.79,-9.41,67.13,40.48,88.66,80.2,0.34,0.44,1.0,0.0,1.6,5.25,69.47,0.0,227.68,0.01,0.0,0.38,5.2,0.51,0.51,2834.14,27.82,197.89,201.48,73.62,58.2,41.8,23.3,,12,2000,2013,13
233,(주)아이디에스,78780,2011-12-01,2005-11-29,2016-04-28,4,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",2.21,-10.25,-13.0,27.3,13.58,-19.01,3.34,0.0,0.5,-5.49,-23.99,-6.17,-10.33,14979.1,-943.0,79.19,68.46,29.15,-12.35,162.18,-4.66,138.96,47.0,38.14,613.94,1.88,4.37,3.27,31.08,13.37,7.31,49.94,11.74,27.3,0.0,0.03,2.06,3.96,4.44,5.17,-13095.42,-10.35,-23.3,-66.82,-5.56,0.0,0.0,0.0,,12,2005,2011,6
234,(주)아이디에스,78780,2012-12-01,2005-11-29,2016-04-28,4,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",-10.37,-4.38,-5.43,-15.94,31.54,-5.33,-2.55,0.0,2.27,-4.09,-19.98,-4.38,-7.82,12138.03,-592.0,83.0,65.4,15.84,-9.02,148.21,-2.65,138.81,44.08,40.29,481.83,1.91,4.89,3.52,24.6,12.13,7.4,49.31,14.84,30.1,0.0,0.03,1.88,4.17,4.19,5.06,30041.0,26.5,55.93,162.82,13.09,89.88,10.12,-31.23,,12,2005,2012,7
235,(주)아이디에스,78780,2013-12-01,2005-11-29,2016-04-28,4,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",-14.48,0.48,-5.76,-25.54,-44.3,-43.76,11.1,0.0,0.35,-7.9,-56.44,-11.27,-19.15,13443.88,-1217.0,54.57,45.91,8.17,-31.95,277.46,-4.19,232.61,38.37,26.49,270.97,2.42,7.14,4.14,30.9,14.26,14.02,26.03,11.81,25.59,0.09,0.03,2.36,4.73,5.85,7.21,25825.4,26.63,48.46,155.58,10.13,132.82,-32.82,-77.98,,12,2005,2013,8
236,(주)아이디에스,78780,2014-12-01,2005-11-29,2016-04-28,4,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",-36.99,-12.26,-19.28,-65.45,-81.08,-79.16,-50.74,0.0,-1.24,-21.73,-175.79,-18.0,-34.52,6395.63,-1583.0,24.37,22.25,8.96,-65.32,1041.18,-5.43,901.01,21.05,8.76,44.52,1.59,8.09,2.33,35.78,11.05,13.24,27.57,10.2,33.03,0.06,0.03,1.47,2.48,5.02,5.83,8649.23,14.16,18.33,98.43,6.89,300.32,-200.32,-315.45,,12,2005,2014,9
237,(주)아이디에스,78780,2015-12-01,2005-11-29,2016-04-28,4,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",19.97,-12.14,-11.77,139.06,-62.29,113.52,-73.83,0.0,10.11,-24.05,-94.18,-5.7,-11.76,2233.93,-1061.0,50.8,50.1,16.99,-40.62,541.21,-1.1,372.31,41.94,15.6,306.93,0.49,3.92,0.72,42.75,6.9,7.77,46.99,8.54,52.91,0.07,0.02,0.42,0.74,1.51,1.56,23659.97,32.28,56.84,475.89,72.0,65.21,34.79,-33.4,,12,2005,2015,10
238,(주)아이엠텍,226350,2017-12-01,2016-02-03,2021-06-11,4,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.37,-30.38,-92.73,-13.69,-44.04,3618.92,-1216.0,136.07,94.71,5.61,13.75,110.56,-28.34,101.37,51.86,47.49,237.14,1.45,3.05,3.01,9.19,9.17,7.14,51.09,39.7,39.82,0.04,0.09,1.61,5.05,2.8,4.02,-6019.92,-12.65,-49.19,-79.84,-8.72,0.0,0.0,0.0,,12,2016,2017,1
239,(주)아이엠텍,226350,2018-12-01,2016-02-03,2021-06-11,4,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",-30.51,-25.92,-32.28,-28.87,-89.78,-90.25,-82.96,0.0,29.93,-229.61,-204.95,-11.58,-66.92,577.85,-1327.0,84.2,80.53,25.46,-9.96,4345.68,-6.35,2085.82,53.08,2.25,20.75,0.29,1.01,0.61,2.84,2.99,2.15,169.92,128.39,122.09,0.01,0.27,0.29,0.99,0.56,0.69,6328.81,19.13,62.53,96.9,53.82,184.96,-84.96,-426.6,,12,2016,2018,2
240,(주)아이엠텍,226350,2019-12-01,2016-02-03,2021-06-11,4,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",64.07,122.97,138.53,-1.75,87.5,685.1,17.75,0.0,44.64,-9.06,-28.32,-6.07,-2.87,300.64,0.0,54.63,50.08,1.12,-26.4,213.55,-0.84,213.88,31.79,31.89,91.11,0.32,1.53,0.53,12.56,10.84,18.76,19.46,29.07,33.67,0.02,0.22,0.32,0.85,0.8,0.85,6309.22,11.62,42.59,65.48,45.57,117.15,-17.15,-19.87,,12,2016,2019,3
241,(주)아이엠텍,226350,2020-12-01,2016-02-03,2021-06-11,4,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2016,2020,4
242,(주)아이팩토리,53810,2011-12-01,2002-07-19,2016-09-19,4,  기타 기계 및 장비 제조업,-9.23,-1.83,2.58,-41.78,12.44,-21.84,-37.95,0.0,14.38,-17.07,-43.43,-4.82,-10.64,2360.96,-426.0,28.41,26.22,1.23,-43.01,342.79,-1.1,367.21,17.07,22.58,162.88,0.62,2.5,0.8,52.61,7.02,7.04,51.85,6.94,51.96,0.14,0.02,0.79,1.04,2.82,2.98,9627.11,10.67,17.14,433.47,16.29,124.63,-24.63,-104.81,,12,2002,2011,9
243,(주)아이팩토리,53810,2012-12-01,2002-07-19,2016-09-19,4,  기타 기계 및 장비 제조업,-19.37,-7.34,-15.21,-39.58,-56.14,-85.08,-60.15,0.0,1.08,-81.86,-164.57,-7.13,-23.65,920.43,-3794.0,16.5,15.58,0.66,-64.73,2292.64,-1.42,2086.62,12.79,4.18,117.66,0.29,2.01,0.34,27.53,8.85,6.74,54.16,13.26,41.22,3.12,0.03,0.35,0.44,1.91,2.05,-3379.28,-4.64,-6.49,-159.71,-14.35,0.0,0.0,0.0,,12,2002,2012,10
244,(주)아이팩토리,53810,2013-12-01,2002-07-19,2016-09-19,4,  기타 기계 및 장비 제조업,12.58,-2.79,-2.57,115.88,-78.04,418.52,53.81,0.0,14.73,-20.13,-77.51,-1.32,-9.43,4603.1,-965.0,36.71,36.5,4.76,-42.28,419.49,-0.24,392.08,24.53,19.25,169.11,0.47,3.85,0.58,113.87,14.17,5.48,66.55,3.21,25.76,0.0,0.01,0.52,0.71,2.46,2.52,3868.99,4.72,7.65,268.81,10.68,138.33,-38.33,-188.45,,12,2002,2013,11
