,회사명,거래소코드,회계년도,상장일,상장폐지일,소속코드,산업명,[제조]매출액증가율(IFRS연결),[제조]자기자본순이익률(IFRS연결),[제조]매출액순이익률(IFRS연결),[제조]유동비율(IFRS연결),[제조]자기자본구성비율(IFRS연결),[제조]총자본회전률(IFRS연결),[제조]자기자본회전률(IFRS연결),[제조]총자본투자효율(IFRS연결),[제조]설비투자효율(IFRS연결),[제조]순이익증가율(IFRS연결),상장폐지사유,회계월,상장년도,회계년,연차
64,(주)디피앤케이,189700,2015-12-01,2014-06-10,2017-08-31,4,"  의복, 의복 액세서리 및 모피제품 제조업",,,,,,,,,,,,12,2014,2015,1
65,(주)디피앤케이,189700,2016-12-01,2014-06-10,2017-08-31,4,"  의복, 의복 액세서리 및 모피제품 제조업",,,,,,,,,,,,12,2014,2016,2
66,(주)레드로버,60300,2011-12-01,2002-01-10,2022-11-04,4,  영상ㆍ오디오 기록물 제작 및 배급업,,,,,,,,,,,,12,2002,2011,9
67,(주)레드로버,60300,2012-12-01,2002-01-10,2022-11-04,4,  영상ㆍ오디오 기록물 제작 및 배급업,,,,,,,,,,,,12,2002,2012,10
68,(주)레드로버,60300,2013-12-01,2002-01-10,2022-11-04,4,  영상ㆍ오디오 기록물 제작 및 배급업,,,,,,,,,,,,12,2002,2013,11
69,(주)레드로버,60300,2014-12-01,2002-01-10,2022-11-04,4,  영상ㆍ오디오 기록물 제작 및 배급업,,,,,,,,,,,,12,2002,2014,12
70,(주)레드로버,60300,2015-12-01,2002-01-10,2022-11-04,4,  영상ㆍ오디오 기록물 제작 및 배급업,0.0,-8.89,-23.2,753.43,85.15,0.33,0.38,-0.69,-65.43,0.0,,12,2002,2015,13
71,(주)레드로버,60300,2016-12-01,2002-01-10,2022-11-04,4,  영상ㆍ오디오 기록물 제작 및 배급업,8.6,0.58,1.69,433.96,87.72,0.3,0.34,6.16,460.04,0.0,,12,2002,2016,14
72,(주)레드로버,60300,2017-12-01,2002-01-10,2022-11-04,4,  영상ㆍ오디오 기록물 제작 및 배급업,-14.9,-7.35,-29.75,683.63,87.99,0.22,0.25,-0.08,-11.21,-1595.45,,12,2002,2017,15
73,(주)레드로버,60300,2018-12-01,2002-01-10,2022-11-04,4,  영상ㆍ오디오 기록물 제작 및 배급업,-65.57,-40.75,-406.82,870.53,89.0,0.09,0.1,-37.22,-7399.21,0.0,,12,2002,2018,16
74,(주)레드로버,60300,2019-12-01,2002-01-10,2022-11-04,4,  영상ㆍ오디오 기록물 제작 및 배급업,-1.56,-172.88,-771.67,46.23,22.67,0.17,0.22,-308.14,-8708.09,0.0,,12,2002,2019,17
75,(주)레드로버,60300,2020-12-01,2002-01-10,2022-11-04,4,  영상ㆍ오디오 기록물 제작 및 배급업,23.27,9.16,7.54,98.52,52.6,0.4,0.99,11.97,614.68,0.0,,12,2002,2020,18
76,(주)렉스엘이앤지,4790,2011-12-01,1995-12-23,2014-03-04,4,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",-11.38,1.23,0.65,87.58,25.44,0.45,1.9,6.62,24.66,0.0,,12,1995,2011,16
77,(주)렉스엘이앤지,4790,2012-12-01,1995-12-23,2014-03-04,4,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",-68.29,-229.36,-233.09,74.27,0.9,0.2,0.98,-76.13,-609.05,0.0,,12,1995,2012,17
78,(주)렉스엘이앤지,4790,2013-12-01,1995-12-23,2014-03-04,4,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",-63.4,0.0,-152.41,57.83,0.0,0.24,0.0,-32.21,-137.23,0.0,,12,1995,2013,18
79,(주)룩손에너지홀딩스,33550,2011-12-01,1998-01-13,2013-05-07,4,  도매 및 상품 중개업,80.42,5.97,1.09,81.84,26.63,1.26,5.47,15.47,93.28,0.0,,12,1998,2011,13
80,(주)룩손에너지홀딩스,33550,2012-12-01,1998-01-13,2013-05-07,4,  도매 및 상품 중개업,-39.07,-112.9,-24.61,53.77,14.25,1.0,4.59,-11.67,-60.03,0.0,,12,1998,2012,14
81,(주)마이스코,88700,2011-12-01,2008-01-25,2013-05-04,4,  금속가공제품 제조업; 기계 및 가구 제외,,,,,,,,,,,,12,2008,2011,3
82,(주)마이스코,88700,2012-12-01,2008-01-25,2013-05-04,4,  금속가공제품 제조업; 기계 및 가구 제외,,,,,,,,,,,,12,2008,2012,4
83,(주)맘스터치앤컴퍼니,220630,2016-12-01,2015-08-28,2022-05-31,4,  도매 및 상품 중개업,0.0,20.73,4.43,168.24,57.63,2.7,4.68,28.98,74.92,0.0,,12,2015,2016,1
84,(주)맘스터치앤컴퍼니,220630,2017-12-01,2015-08-28,2022-05-31,4,  도매 및 상품 중개업,18.64,22.49,4.7,263.98,54.34,2.67,4.79,35.83,106.56,25.82,,12,2015,2017,2
85,(주)맘스터치앤컴퍼니,220630,2018-12-01,2015-08-28,2022-05-31,4,  도매 및 상품 중개업,18.75,26.3,5.91,126.0,56.92,2.45,4.4,40.33,121.03,50.66,,12,2015,2018,3
