회사명,거래소코드,회계년도,상장일,상장폐지일,소속코드,산업명,[제조]총자본증가율(IFRS연결),[제조]유형자산증가율(IFRS연결),[제조]비유동자산증가율(IFRS연결),[제조]유동자산증가율(IFRS연결),[제조]재고자산증가율(IFRS연결),[제조]자기자본증가율(IFRS연결),[제조]매출액증가율(IFRS연결),[제조]순이익증가율(IFRS연결),[제조]매출액총이익률(IFRS연결),[제조]매출액순이익률(IFRS연결),[제조]자기자본순이익률(IFRS연결),[제조]총자본사업이익률(IFRS연결)(원),[제조]총자본순이익률(IFRS연결)(원),[제조]1주당매출액(IFRS연결),[제조]1주당순이익(IFRS연결),[제조]유동비율(IFRS연결),[제조]당좌비율(IFRS연결),[제조]현금비율(IFRS연결),[제조]순운전자본비율(IFRS연결),[제조]부채비율(IFRS연결),[제조]이자보상배율(이자비용)(IFRS연결),[제조]비유동비율(IFRS연결),[제조]유동자산구성비율(IFRS연결),[제조]자기자본구성비율(IFRS연결),[제조]자기자본배율(IFRS연결),[제조]총자본회전률(IFRS연결),[제조]자기자본회전률(IFRS연결),[제조]비유동자산회전률(IFRS연결),[제조]재고자산회전률(IFRS연결),[제조]매출채권회전률(IFRS연결),[제조]매입채무회전률(IFRS연결),[제조]매입채무회전기간(IFRS연결),[제조]재고자산회전기간(IFRS연결),[제조]매출채권회전기간(IFRS연결),[제조]1회전기간(IFRS연결),[제조]운전자본회전률(IFRS연결),[제조]순운전자본회전률(IFRS연결),[제조]유형자산회전율(IFRS연결)(백만원),[제조]유동자산회전률(IFRS연결),[제조]당좌자산회전률(IFRS연결),[제조]부가가치(IFRS연결),[제조]총자본투자효율(IFRS연결),[제조]설비투자효율(IFRS연결),[제조]기계투자효율(IFRS연결),[제조]부가가치율(IFRS연결),[제조]노동소득분배율(IFRS연결),[제조]자본분배율(IFRS연결),[제조]이윤분배율(IFRS연결)
(주)아바코,083930,2011/12,2005/10/11,,5,    특수 목적용 기계 제조업,-2.82,5.98,115.37,-37.12,163.27,15.63,9.07,-40.92,8.89,3.56,12.7,7.75,6.56,24294.71,885,119.25,114.7,3.11,8.1,77.86,44.14,88.65,50.16,56.22,1462.44,1.84,3.56,5.12,141.38,4.04,6.42,56.85,2.58,90.24,0.03,0.01,1.68,8.55,2.88,2.94,25673.59,19.28,85.82,3561.88,10.32,53.72,46.28,34.53
(주)아바코,083930,2012/12,2005/10/11,,5,    특수 목적용 기계 제조업,-6.43,-3.8,-4.7,-8.16,-15.24,15.61,-61.91,0,6.13,-0.24,-0.28,-0.56,-0.17,6222.26,-15,180.64,174.28,14.98,21.98,43.95,-3.13,73.08,49.23,69.47,1081.97,0.74,1.17,1.46,40.22,2.58,5.12,71.25,9.08,141.66,0.01,0.03,0.87,3.23,1.48,1.54,13858.47,11.12,48.16,2394.97,14.63,91.27,8.73,-1.61
(주)아바코,083930,2013/12,2005/10/11,,5,    특수 목적용 기계 제조업,10.46,-3.6,-33.72,56.02,-55.8,-9.25,76.17,0,11.52,-8.96,-18.12,7.38,-11.41,10432.95,-966,175.53,173.78,36.97,29.92,75.22,49.49,53.37,69.54,57.07,981.85,1.27,2.02,3.17,107.1,3.95,7.83,46.63,3.41,92.31,0.02,0.01,1.36,5.91,2.13,2.17,-2333.57,-1.7,-8.41,-195.11,-1.4,0,0,0
(주)아바텍,149950,2012/12,2012/11/06,,5,    전자부품 제조업,50.83,21.09,21.1,117.89,60.51,67.57,79.77,160.14,31.23,19.48,24.54,24.73,20.61,5478.6,1238,421.29,392.01,284.77,33.84,14.35,1660.31,63.61,44.37,87.45,1052.11,1.06,1.26,1.73,35.14,10.56,33.63,10.85,10.39,34.57,0.03,0.08,2.01,1.77,2.72,2.94,42744.24,43.58,87.09,178.7,49.55,39.25,60.75,39.32
(주)아바텍,149950,2013/12,2012/11/06,,5,    전자부품 제조업,15.41,30.07,30.63,-3.66,17.77,14.16,23.11,-5.36,25.46,14.98,17.32,17.9,15.06,6512.75,983,299.73,274.26,160.49,24.68,15.6,1018.15,72.78,37.04,86.5,1201.07,1.01,1.16,1.69,32.24,8.17,34.28,10.65,11.32,44.66,0.02,0.16,1.93,1.73,2.49,2.69,49334.87,43.58,83.25,163.99,46.45,46.03,53.97,32.24
(주)아이디스,143160,2011/12,2011/09/26,,5,    통신 및 방송 장비 제조업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)아이디스,143160,2012/12,2011/09/26,,5,    통신 및 방송 장비 제조업,0,0,0,0,0,0,0,0,36.05,16.64,28.55,27.25,20.46,49051.24,8165,249.02,215.74,17.6,41.13,39.53,21.61,43.62,68.74,71.67,5718.34,1.23,1.72,3.93,13.38,4.65,19.61,18.61,27.27,78.52,0.01,0,1.28,15.18,1.79,2.06,47158.93,38.06,472.12,33797.2,30.95,25.06,74.94,53.77
(주)아이디스,143160,2013/12,2011/09/26,,5,    통신 및 방송 장비 제조업,17.83,13.55,9.48,21.63,35.59,52.25,-22.82,-20.72,38.95,17.1,17.95,15.8,14.9,11127.07,1956,1046.5,890.57,224.88,64.17,7.98,88.83,31.37,70.95,92.61,2523.54,0.87,1.05,2.9,8.77,4.18,16.25,22.46,41.63,87.24,0.01,0,1.01,10.97,1.25,1.45,42789.44,29.31,430.27,40577.94,36.39,32.63,67.37,46.98
(주)아이디스홀딩스,054800,2011/12,2001/09/27,,5,    통신 및 방송 장비 제조업,0,0,0,0,0,0,0,0,45.61,596.66,58.33,4.07,46.17,1964.94,11324,2262.33,2237.7,2.93,55.79,26.17,3.79,52.53,58.37,79.26,3995.41,0.08,0.1,0.19,12.18,3.26,22.8,16.01,29.97,111.81,0.01,0,0.13,0.37,0.13,0.13,5028.61,2.86,13.82,100572224,37.02,33.46,66.54,1611.93
(주)아이디스홀딩스,054800,2012/12,2001/09/27,,5,    통신 및 방송 장비 제조업,28.53,-93.49,167.61,-70.68,29.43,34.39,104.81,-82.56,71.09,53.09,8.68,9.24,7.36,3043.05,1741,495.81,471.99,16.87,10.63,20.42,11.35,104.38,13.31,83.04,3587.47,0.14,0.17,0.21,21.74,8.55,43.54,8.38,16.79,42.68,0.02,0,0.39,1.44,0.42,0.43,21347.45,9.46,949.65,426948996.4,76.72,12.49,87.51,69.2
