,회사명,거래소코드,회계년도,총자본순이익률,매출액증가율,자기자본순이익률,매출액순이익률,유동비율,자기자본구성비율,총자본회전률,자기자본회전률,총자본투자효율,설비투자효율,순이익증가율,label
77,(주)골프존,215000,2016-12-01,19.44,7.64,30.3,16.84,159.04,64.2,1.15,1.8,44.04,114.89,0.01,0.0
78,(주)골프존,215000,2017-12-01,35.96,-7.77,51.19,39.68,309.32,74.66,0.91,1.29,34.14,123.58,117.07,0.0
79,(주)골프존,215000,2018-12-01,8.04,-0.7,10.63,10.28,267.33,76.72,0.78,1.03,24.9,79.48,-74.25,0.0
80,(주)골프존,215000,2019-12-01,5.72,24.31,8.21,6.56,133.84,64.0,0.87,1.25,31.88,88.99,-20.6,0.0
81,(주)골프존,215000,2020-12-01,11.03,20.85,18.02,12.56,145.96,61.41,0.88,1.4,38.92,126.85,136.01,0.0
82,(주)골프존뉴딘홀딩스,121440,2012-12-01,15.96,34.22,19.34,25.33,208.99,76.1,0.63,0.76,22.44,62.6,57.8,0.0
83,(주)골프존뉴딘홀딩스,121440,2013-12-01,0.48,26.07,0.67,0.77,133.05,66.56,0.62,0.87,16.43,50.99,-96.19,0.0
84,(주)골프존뉴딘홀딩스,121440,2014-12-01,11.32,17.66,17.4,18.44,91.84,63.83,0.61,0.94,21.71,38.44,2726.3,0.0
85,(주)골프존뉴딘홀딩스,121440,2015-12-01,113.92,-61.7,168.4,529.43,93.81,71.85,0.22,0.32,3.37,6.44,999.37,0.0
86,(주)골프존뉴딘홀딩스,121440,2016-12-01,0.38,47.86,0.75,1.18,70.74,69.41,0.32,0.45,6.63,12.75,-99.54,0.0
87,(주)골프존뉴딘홀딩스,121440,2017-12-01,-2.85,-12.13,-4.2,-10.1,97.2,66.21,0.28,0.42,3.08,5.95,0.0,0.0
88,(주)골프존뉴딘홀딩스,121440,2018-12-01,-0.98,4.34,-1.45,-3.37,47.77,62.73,0.29,0.45,7.85,16.11,0.0,0.0
89,(주)골프존뉴딘홀딩스,121440,2019-12-01,-4.49,2.64,-6.89,-15.22,147.33,57.6,0.3,0.49,3.91,8.42,0.0,0.0
90,(주)골프존뉴딘홀딩스,121440,2020-12-01,3.62,27.56,6.14,9.75,187.91,59.0,0.37,0.64,12.63,132.81,0.0,0.0
91,(주)광림,14200,2011-12-01,11.13,13.98,16.74,12.93,147.28,65.67,0.86,1.29,33.34,107.38,19.12,0.0
92,(주)광림,14200,2012-12-01,17.15,-19.88,18.74,22.69,1039.44,93.26,0.76,0.83,17.55,133.48,-77.3,0.0
93,(주)광림,14200,2013-12-01,16.28,21.24,19.0,26.09,266.7,80.18,0.62,0.73,21.14,81.73,178.1,0.0
94,(주)광림,14200,2014-12-01,-0.1,123.74,1.09,-0.1,174.84,52.67,0.95,1.79,13.94,60.16,-56.29,0.0
95,(주)광림,14200,2015-12-01,10.81,2.5,14.11,16.42,159.14,80.74,0.66,0.86,18.83,62.19,1251.92,0.0
96,(주)광림,14200,2016-12-01,-0.83,-63.2,-1.92,-2.17,83.29,49.44,0.38,0.77,4.26,13.98,0.0,0.0
97,(주)광림,14200,2017-12-01,-10.79,54.85,-15.47,-17.46,106.4,51.76,0.62,1.22,4.75,17.01,0.0,0.0
98,(주)광림,14200,2018-12-01,-14.37,1.04,-26.58,-20.82,84.32,47.96,0.69,1.38,-31.28,-131.08,0.0,0.0
99,(주)광림,14200,2019-12-01,-6.36,6.79,-7.84,-9.6,77.11,35.95,0.66,1.61,8.91,38.25,0.0,0.0
100,(주)광림,14200,2020-12-01,-10.26,10.53,-31.28,-14.78,77.48,38.47,0.69,1.87,4.29,14.95,0.0,0.0
101,(주)광무,29480,2011-12-01,-66.0,-36.69,-131.02,-96.85,111.42,49.81,0.68,1.37,-41.21,-180.22,0.0,0.0
102,(주)광무,29480,2012-12-01,-19.16,-20.44,-36.23,-25.96,117.03,52.89,0.74,1.4,5.14,22.99,0.0,0.0
103,(주)광무,29480,2013-12-01,-63.0,-50.13,-150.0,-139.87,66.23,24.83,0.45,1.07,-54.24,-173.98,0.0,0.0
104,(주)광무,29480,2015-12-01,18.12,-54.05,20.45,13.3,440.35,88.63,1.36,1.54,36.74,88.15,0.0,0.0
105,(주)광무,29480,2016-12-01,2.63,49.76,4.63,2.43,208.74,65.63,1.08,1.91,18.18,66.07,0.0,0.0
106,(주)광무,29480,2017-12-01,0.67,-18.5,0.98,0.69,257.28,70.74,0.97,1.42,11.45,43.06,0.0,0.0
107,(주)광무,29480,2018-12-01,-18.01,7.12,-51.67,-22.19,115.45,37.74,0.81,2.15,11.12,37.54,0.0,0.0
108,(주)광무,29480,2019-12-01,-14.02,58.11,-38.68,-17.6,108.76,36.18,0.8,2.17,9.9,163.65,0.0,0.0
109,(주)광무,29480,2020-12-01,-37.98,-30.99,-82.72,-76.76,130.81,62.71,0.49,1.07,-22.3,-589.34,0.0,0.0
110,(주)구영테크,53270,2011-12-01,-0.44,-1.8,-1.4,-0.44,56.43,24.51,1.01,4.04,20.19,38.93,0.0,0.0
111,(주)구영테크,53270,2012-12-01,1.05,5.38,4.49,1.05,57.4,22.76,1.0,4.25,21.14,43.07,0.0,0.0
112,(주)구영테크,53270,2013-12-01,1.4,10.89,5.74,1.26,60.26,26.15,1.11,4.56,27.18,49.51,31.89,0.0
113,(주)구영테크,53270,2014-12-01,1.47,-1.28,4.75,1.31,71.98,33.5,1.12,3.74,26.25,47.84,-0.13,0.0
114,(주)구영테크,53270,2015-12-01,2.62,0.91,7.74,2.42,85.48,34.96,1.09,3.17,27.54,51.32,94.33,0.0
115,(주)구영테크,53270,2016-12-01,1.55,-13.82,4.64,1.71,80.61,34.65,0.9,2.6,24.69,46.74,-36.92,0.0
116,(주)구영테크,53270,2017-12-01,0.77,1.03,2.61,0.91,78.36,29.84,0.85,2.64,20.27,44.88,-43.82,0.0
117,(주)구영테크,53270,2018-12-01,3.04,30.3,9.65,3.03,80.98,33.98,1.0,3.13,22.95,38.69,305.87,0.0
118,(주)구영테크,53270,2019-12-01,1.66,18.24,4.8,1.47,78.53,34.71,1.13,3.29,23.26,40.32,-43.49,0.0
