회사명,거래소코드,회계년도,상장일,상장폐지일,소속코드,산업명,[제조]매출액증가율(IFRS연결),[제조]순이익증가율(IFRS연결),[제조]매출액순이익률(IFRS연결),[제조]자기자본순이익률(IFRS연결),[제조]총자본투자효율(IFRS연결),[제조]설비투자효율(IFRS연결),[제조]자기자본구성비율(IFRS연결),[제조]유동비율(IFRS연결),[제조]총자본회전률(IFRS연결),[제조]자기자본회전률(IFRS연결)
(주)골드앤에스,35290,2015/12,1999/12/07,,5,  출판업,-29.05,0.0,-42.81,-76.1,5.71,416.13,62.9,193.43,0.63,1.63
(주)골드앤에스,35290,2016/12,1999/12/07,,5,  출판업,-28.4,0.0,2.46,2.65,25.52,2333.26,76.42,235.98,0.74,1.08
(주)골드앤에스,35290,2017/12,1999/12/07,,5,  출판업,-19.45,-2141.05,-62.3,-57.72,-24.99,-3780.33,77.71,338.62,0.71,0.93
(주)골드앤에스,35290,2018/12,1999/12/07,,5,  출판업,-32.19,0.0,-50.46,-32.3,-0.73,-2.93,32.44,75.1,0.29,0.64
(주)골드앤에스,35290,2019/12,1999/12/07,,5,  출판업,-11.95,0.0,-325.58,-572.47,-99.2,-431.91,0.0,18.57,0.26,0.0
(주)골드앤에스,35290,2020/12,1999/12/07,,5,  출판업,-45.85,0.0,39.52,35.13,26.68,153.16,69.78,412.25,0.23,0.0
(주)골드퍼시픽,38530,2011/12,2000/06/09,,5,  도매 및 상품 중개업,,,,,,,,,,
(주)골드퍼시픽,38530,2012/12,2000/06/09,,5,  도매 및 상품 중개업,,,,,,,,,,
(주)골드퍼시픽,38530,2013/12,2000/06/09,,5,  도매 및 상품 중개업,0.0,0.0,-130.88,-57.94,-12.74,-43.41,48.06,155.04,0.21,0.44
(주)골드퍼시픽,38530,2014/12,2000/06/09,,5,  도매 및 상품 중개업,0.0,0.0,-44.83,-48.56,3.71,15.69,39.5,133.18,0.39,1.0
(주)골드퍼시픽,38530,2015/12,2000/06/09,,5,  도매 및 상품 중개업,13.04,0.0,-54.82,-55.42,-9.75,-108.01,74.17,349.83,0.53,0.99
(주)골드퍼시픽,38530,2016/12,2000/06/09,,5,  도매 및 상품 중개업,,,,,,,,,,
(주)골드퍼시픽,38530,2017/12,2000/06/09,,5,  도매 및 상품 중개업,,,,,,,,,,
(주)골드퍼시픽,38530,2018/12,2000/06/09,,5,  도매 및 상품 중개업,0.0,0.0,-78.34,-21.81,-3.93,-1572.43,53.1,196.78,0.15,0.28
(주)골드퍼시픽,38530,2019/12,2000/06/09,,5,  도매 및 상품 중개업,,,,,,,,,,
(주)골드퍼시픽,38530,2020/12,2000/06/09,,5,  도매 및 상품 중개업,,,,,,,,,,
(주)골프존,215000,2015/12,2015/04/03,,5,  출판업,,,,,,,,,,
(주)골프존,215000,2016/12,2015/04/03,,5,  출판업,0.0,0.0,16.84,30.3,44.04,114.89,64.2,159.04,1.15,1.8
(주)골프존,215000,2017/12,2015/04/03,,5,  출판업,-7.77,117.07,39.68,51.19,34.14,123.58,74.66,309.32,0.91,1.29
(주)골프존,215000,2018/12,2015/04/03,,5,  출판업,-0.7,-74.25,10.28,10.63,24.9,79.48,76.72,267.33,0.78,1.03
(주)골프존,215000,2019/12,2015/04/03,,5,  출판업,24.31,-20.6,6.56,8.21,31.88,88.99,64.0,133.84,0.87,1.25
(주)골프존,215000,2020/12,2015/04/03,,5,  출판업,20.85,136.01,12.56,18.02,38.92,126.85,61.41,145.96,0.88,1.4
(주)골프존뉴딘홀딩스,121440,2011/12,2011/05/20,,5,  도매 및 상품 중개업,13.4,-31.79,21.54,18.23,18.21,132.09,92.31,1016.66,0.76,0.84
(주)골프존뉴딘홀딩스,121440,2012/12,2011/05/20,,5,  도매 및 상품 중개업,34.22,57.8,25.33,19.34,22.44,62.6,76.1,208.99,0.63,0.76
(주)골프존뉴딘홀딩스,121440,2013/12,2011/05/20,,5,  도매 및 상품 중개업,26.07,-96.19,0.77,0.67,16.43,50.99,66.56,133.05,0.62,0.87
(주)골프존뉴딘홀딩스,121440,2014/12,2011/05/20,,5,  도매 및 상품 중개업,17.66,2726.3,18.44,17.4,21.71,38.44,63.83,91.84,0.61,0.94
(주)골프존뉴딘홀딩스,121440,2015/12,2011/05/20,,5,  도매 및 상품 중개업,-61.7,999.37,529.43,168.4,3.37,6.44,71.85,93.81,0.22,0.32
(주)골프존뉴딘홀딩스,121440,2016/12,2011/05/20,,5,  도매 및 상품 중개업,47.86,-99.54,1.18,0.75,6.63,12.75,69.41,70.74,0.32,0.45
(주)골프존뉴딘홀딩스,121440,2017/12,2011/05/20,,5,  도매 및 상품 중개업,-12.13,-636.22,-10.1,-4.2,3.08,5.95,66.21,97.2,0.28,0.42
(주)골프존뉴딘홀딩스,121440,2018/12,2011/05/20,,5,  도매 및 상품 중개업,4.34,0.0,-3.37,-1.45,7.85,16.11,62.73,47.77,0.29,0.45
(주)골프존뉴딘홀딩스,121440,2019/12,2011/05/20,,5,  도매 및 상품 중개업,2.64,0.0,-15.22,-6.89,3.91,8.42,57.6,147.33,0.3,0.49
(주)골프존뉴딘홀딩스,121440,2020/12,2011/05/20,,5,  도매 및 상품 중개업,27.56,0.0,9.75,6.14,12.63,132.81,59.0,187.91,0.37,0.64
(주)공구우먼,366030,2017/12,2022/03/23,,5,  소매업; 자동차 제외,,,,,,,,,,
(주)공구우먼,366030,2018/12,2022/03/23,,5,  소매업; 자동차 제외,,,,,,,,,,
(주)공구우먼,366030,2019/12,2022/03/23,,5,  소매업; 자동차 제외,,,,,,,,,,
(주)공구우먼,366030,2020/12,2022/03/23,,5,  소매업; 자동차 제외,,,,,,,,,,
(주)광림,14200,2011/12,1993/07/07,,5,  자동차 및 트레일러 제조업,,,,,,,,,,
(주)광림,14200,2012/12,1993/07/07,,5,  자동차 및 트레일러 제조업,,,,,,,,,,
(주)광림,14200,2013/12,1993/07/07,,5,  자동차 및 트레일러 제조업,,,,,,,,,,
(주)광림,14200,2014/12,1993/07/07,,5,  자동차 및 트레일러 제조업,0.0,0.0,-0.1,1.09,13.94,60.16,52.67,174.84,0.95,1.79
(주)광림,14200,2015/12,1993/07/07,,5,  자동차 및 트레일러 제조업,,,,,,,,,,
(주)광림,14200,2016/12,1993/07/07,,5,  자동차 및 트레일러 제조업,0.0,0.0,-2.17,-1.92,4.26,13.98,49.44,83.29,0.38,0.77
(주)광림,14200,2017/12,1993/07/07,,5,  자동차 및 트레일러 제조업,54.85,0.0,-17.46,-15.47,4.75,17.01,51.76,106.4,0.62,1.22
(주)광림,14200,2018/12,1993/07/07,,5,  자동차 및 트레일러 제조업,1.04,0.0,-20.82,-26.58,-31.28,-131.08,47.96,84.32,0.69,1.38
(주)광림,14200,2019/12,1993/07/07,,5,  자동차 및 트레일러 제조업,6.79,0.0,-9.6,-7.84,8.91,38.25,35.95,77.11,0.66,1.61
(주)광림,14200,2020/12,1993/07/07,,5,  자동차 및 트레일러 제조업,10.53,0.0,-14.78,-31.28,4.29,14.95,38.47,77.48,0.69,1.87
(주)광무,29480,2011/12,1996/08/27,,5,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",0.0,0.0,-96.85,-131.02,-41.21,-180.22,49.81,111.42,0.68,1.37
(주)광무,29480,2012/12,1996/08/27,,5,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",0.0,0.0,-25.96,-36.23,5.14,22.99,52.89,117.03,0.74,1.4
(주)광무,29480,2013/12,1996/08/27,,5,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",-50.13,0.0,-139.87,-150.0,-54.24,-173.98,24.83,66.23,0.45,1.07
(주)광무,29480,2014/12,1996/08/27,,5,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,,
(주)광무,29480,2015/12,1996/08/27,,5,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,,
(주)광무,29480,2016/12,1996/08/27,,5,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,,
(주)광무,29480,2017/12,1996/08/27,,5,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,,
(주)광무,29480,2018/12,1996/08/27,,5,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",0.0,0.0,-22.19,-51.67,11.12,37.54,37.74,115.45,0.81,2.15
(주)광무,29480,2019/12,1996/08/27,,5,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",58.11,0.0,-17.6,-38.68,9.9,163.65,36.18,108.76,0.8,2.17
(주)광무,29480,2020/12,1996/08/27,,5,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",-30.99,0.0,-76.76,-82.72,-22.3,-589.34,62.71,130.81,0.49,1.07
