,회사명,거래소코드,회계년도,상장일,상장폐지일,소속코드,산업명,유동자산증가율,총자본증가율,자기자본순이익률,총자본순이익률,자본분배율,부가가치율,순운전자본비율,자기자본배율,매입채무회전률,매출채권회전기간,label,유동자산증가율_차이,유동자산증가율_변동률,총자본증가율_차이,총자본증가율_변동률,자기자본순이익률_차이,자기자본순이익률_변동률,총자본순이익률_차이,총자본순이익률_변동률,자본분배율_차이,자본분배율_변동률,부가가치율_차이,부가가치율_변동률,순운전자본비율_차이,순운전자본비율_변동률,자기자본배율_차이,자기자본배율_변동률,매입채무회전률_차이,매입채무회전률_변동률,매출채권회전기간_차이,매출채권회전기간_변동률
2205,조아제약(주),34940,2014-12-01,1999-08-13,,5,  의료용 물질 및 의약품 제조업,-2.25,4.56,-8.72,-5.57,-6.61,37.98,30.5,330.03,25.02,155.19,0.0,-14.29,-0.0118687707641196,-7.080000000000001,-0.006082474226804124,-12.24,-0.034772727272727275,-8.05,-0.03245967741935484,-28.919999999999998,-0.012962796952039444,-4.990000000000002,-0.0011612753083546665,-14.75,-0.0032596685082872928,-31.560000000000002,-0.0008728117481125032,0.19000000000000128,7.652033830044353e-05,-10.670000000000016,-0.0006433136380079595
2206,주성엔지니어링(주),36930,2012-12-01,1999-12-24,,5,  기타 기계 및 장비 제조업,-36.83,-22.42,-63.86,-23.65,0.0,-58.63,-1.4,631.34,2.09,293.34,0.0,-25.869999999999997,-0.023604014598540144,-19.910000000000004,-0.07932270916334663,-57.94,-0.09787162162162162,-21.209999999999997,-0.08692622950819671,-22.08,-0.009999999999999998,-73.52000000000001,-0.049375419744795174,-22.32,-0.010669216061185469,-607.14,-0.004902299593049544,-1.52,-0.004210526315789474,201.47999999999996,0.021933376877857604
2207,주성엔지니어링(주),36930,2013-12-01,1999-12-24,,5,  기타 기계 및 장비 제조업,-8.86,-8.98,-31.79,-9.33,-151.02,6.0,-24.66,476.22,4.04,105.67,0.0,27.97,0.00759435243008417,13.440000000000001,0.005994647636039251,32.07,0.005021922956467272,14.319999999999999,0.006054968287526426,-151.02,0.0,64.63,0.011023366877025412,-23.26,-0.16614285714285715,-155.12,-0.002456996230240441,1.9500000000000002,0.009330143540669857,-187.66999999999996,-0.006397695506920297
2208,주성엔지니어링(주),36930,2014-12-01,1999-12-24,,5,  기타 기계 및 장비 제조업,-32.55,-18.22,-20.52,-6.25,3.37,15.83,-20.34,443.6,3.68,60.4,0.0,-23.689999999999998,-0.026738148984198642,-9.239999999999998,-0.010289532293986636,11.27,0.00354513998112614,3.08,0.0033011789924973205,154.39000000000001,0.010223149251754734,9.83,0.016383333333333333,4.32,0.0017518248175182483,-32.620000000000005,-0.0006849775313930537,-0.3599999999999999,-0.0008910891089108908,-45.27,-0.004284091984479985
2209,지나인제약(주),78650,2012-12-01,2010-10-22,,6,"  의료, 정밀, 광학기기 및 시계 제조업",30.06,3.86,8.09,2.01,67.32,68.3,-22.73,715.09,6.66,56.51,0.0,9.059999999999999,0.004314285714285714,-27.97,-0.008787307571473453,28.33,0.01399703557312253,7.91,0.01340677966101695,6.849999999999994,0.0011327931205556464,0.3100000000000023,4.5594940432416874e-05,4.23,0.001568991097922849,-34.74000000000001,-0.00046330501580358225,0.79,0.0013458262350936967,-25.550000000000004,-0.0031135754326102856
2210,지나인제약(주),78650,2013-12-01,2010-10-22,,6,"  의료, 정밀, 광학기기 및 시계 제조업",-16.6,18.9,28.33,8.21,75.59,45.75,-23.05,1010.48,9.55,37.21,0.0,-46.66,-0.015522288755821689,15.04,0.03896373056994818,20.24,0.025018541409147093,6.200000000000001,0.030845771144278618,8.27000000000001,0.0012284610814022596,-22.549999999999997,-0.003301610541727672,-0.3200000000000003,-0.00014078310602727684,295.39,0.004130808709393223,2.8900000000000006,0.00433933933933934,-19.299999999999997,-0.003415324721288267
2211,지나인제약(주),78650,2014-12-01,2010-10-22,,6,"  의료, 정밀, 광학기기 및 시계 제조업",-10.99,3.88,-20.41,-5.84,35.62,30.41,-36.45,770.93,8.14,45.83,0.0,5.610000000000001,0.003379518072289157,-15.02,-0.007947089947089947,-48.739999999999995,-0.01720437698552771,-14.05,-0.017113276492082823,-39.970000000000006,-0.00528773647307845,-15.34,-0.0033530054644808744,-13.400000000000002,-0.005813449023861173,-239.55000000000007,-0.0023706555300451277,-1.4100000000000001,-0.0014764397905759161,8.619999999999997,0.0023165815640956724
2212,지더블유바이텍(주),36180,2012-12-01,1999-12-21,,5,  도매 및 상품 중개업,-24.06,-14.9,4.36,3.64,39.16,15.01,55.85,1044.38,9.01,116.26,0.0,-54.97,-0.017783888709155614,-24.54,-0.02545643153526971,-8.59,-0.006633204633204633,-7.549999999999999,-0.006747095621090258,-20.470000000000006,-0.0034328358208955234,-4.76,-0.0024076884167931207,0.28999999999999915,5.219582433405312e-05,31.15000000000009,0.00030743266583105604,-4.300000000000001,-0.003230653643876785,9.230000000000004,0.000862375035036906
2213,지더블유바이텍(주),36180,2013-12-01,1999-12-21,,5,  도매 및 상품 중개업,34.07,18.19,22.57,15.53,71.15,20.78,34.86,1264.11,9.45,46.85,0.0,58.129999999999995,0.024160432252701577,33.09,0.02220805369127517,18.21,0.04176605504587155,11.889999999999999,0.03266483516483516,31.99000000000001,0.008169050051072527,5.770000000000001,0.003844103930712859,-20.990000000000002,-0.0037582811101163835,219.7299999999998,0.002103927689155286,0.4399999999999995,0.0004883462819089895,-69.41,-0.005970239119215551
2214,지더블유바이텍(주),36180,2014-12-01,1999-12-21,,5,  도매 및 상품 중개업,9.09,2.76,22.58,15.15,67.17,23.18,34.5,1523.83,11.27,36.97,0.0,-24.98,-0.007331963604343998,-15.430000000000001,-0.008482682792743265,0.00999999999999801,4.430660168364205e-06,-0.379999999999999,-0.0002446877012234379,-3.980000000000004,-0.0005593815881939569,2.3999999999999986,0.0011549566891241572,-0.35999999999999943,-0.0001032702237521513,259.72,0.002054568036009525,1.8200000000000003,0.0019259259259259264,-9.880000000000003,-0.002108858057630737
